Movie(s),Relaese Date,Rating
      Soorarai Pottru,2020,8.3
      Aparajito,1956,8.3
      Asuran,2019,8.3
      Jaane Bhi Do Yaaro,1983,8.3
      Pyaasa,1957,8.3
      Guide,1965,8.3
      Kannathil Muthamittal,2002,8.2
      Chupke Chupke,1975,8.2
      Jersey,2019,8.2
      Kaithi,2019,8.2
      Thani Oruvan,2015,8.2
      Vada Chennai,2018,8.2
      Aruvi,2016,8.2
      Drishyam,2013,8.2
      Khosla Ka Ghosla!,2006,8.2
      Peranbu,2018,8.2
      Super Deluxe,2019,8.2
      Andhadhun,2018,8.2
      Tumbbad,2018,8.2
      Agent Sai Srinivasa Athreya,2019,8.2
      Mahanati,2018,8.2
      Kaakkaa Muttai,2014,8.2
      Dhuruvangal Pathinaaru,2016,8.2
      Premam,2015,8.2
      Satya,1998,8.2
      Shahid,2012,8.2
      Bangalore Days,2014,8.1
      Soodhu Kavvum,2013,8.1
      Mudhalvan,1999,8.1
      Anniyan,2005,8.1
      Gangs of Wasseypur,2012,8.1
      Papanasam,2015,8.1
      Jigarthanda,2014,8.1
      Nil Battey Sannata,2015,8.1
      Talvar,2015,8.1
      Drishyam,2015,8.1
      Bhaag Milkha Bhaag,2013,8.1
      Paan Singh Tomar,2012,8.1
      Sholay,1975,8.1
"      Swades: We, the People",2004,8.1
      Hera Pheri,2000,8.1
      Black,2005,8.1
      Chak De! India,2007,8.1
      Jo Jeeta Wohi Sikandar,1992,8.1
      Rang De Basanti,2006,8.1
      Mughal-E-Azam,1960,8.1
      Charulata,1964,8.1
      Sairat,2016,8.1
      Queen,2013,8.1
      Ustad Hotel,2012,8.1
      Udaan,2010,8.1
      Article 15,2019,8.1
      Zindagi Na Milegi Dobara,2011,8.1
      A Wednesday,2008,8.1
      Dil Chahta Hai,2001,8.1
      Munna Bhai M.B.B.S.,2003,8.1
      Andaz Apna Apna,1994,8.1
      Sarfarosh,1999,8.1
      OMG: Oh My God!,2012,8.1
      Roja,1992,8.1
      Masaan,2015,8.1
      Lagaan: Once Upon a Time in India,2001,8.1
      Alai Payuthey,2000,8.1
      Maheshinte Prathikaaram,2016,8.1
      Kahaani,2012,8.1
      Theeran adhigaaram ondru,2017,8.1
      PK,2014,8.1
      Uri: The Surgical Strike,2018,8.1
      Baasha,1995,8.1
      Iqbal,2005,8.1
      Pink,2016,8.1
      Barfi!,2012,8.0
      The Legend of Bhagat Singh,2002,8.0
      Bommarillu,2006,8.0
      Maqbool,2003,8.0
      Lucia,2013,8.0
      Bombay,1995,8.0
      Omkara,2006,8.0
      Section 375,2019,8.0
      Lage Raho Munna Bhai,2006,8.0
      Deewaar,1975,8.0
      Indian,1996,8.0
      Chhichhore,2019,8.0
      Baahubali 2: The Conclusion,2017,8.0
      Dilwale Dulhania Le Jayenge,1995,8.0
      Gully Boy,2019,8.0
      Gulaal,2009,8.0
      Padosan,1968,8.0
      Haider,2014,8.0
      Pelli Choopulu,2016,8.0
      Mother India,1957,8.0
      Athadu,2005,8.0
      Ugly,2013,8.0
      Padayappa,1999,8.0
      Special Chabbis,2013,7.9
      Dev.D,2009,7.9
      Rangasthalam,2018,7.9
      Badhaai ho,2018,7.9
      Jalsaghar,1958,7.9
      Bajrangi Bhaijaan,2015,7.9
      Ship of Theseus,2012,7.9
      Vaastav: The Reality,1999,7.9
      Arjun Reddy,2017,7.9
      Company,2002,7.9
      Ulidavaru Kandanthe,2014,7.9
      Dil Bechara,2020,7.9
      Ankhon Dekhi,2013,7.9
      Mukkabaaz,2017,7.9
      Vaaranam Aayiram,2008,7.9
      Vedam,2010,7.9
      Manjhi: The Mountain Man,2015,7.9
      K.G.F: Chapter 1,2018,7.9
      Pizza,2012,7.9
      My Name Is Khan,2010,7.9
      Kal Ho Naa Ho,2003,7.9
      Jab We Met,2007,7.9
      Mumbai Police,2013,7.9
      Memories,2013,7.8
      Unnaipol Oruvan,2009,7.8
      Padman,2018,7.8
      Bãhubali: The Beginning,2015,7.8
      Border,1997,7.8
      Dor,2006,7.8
      Lakshya,2004,7.8
      Super 30,2019,7.8
      Airlift,2016,7.8
      Vettaiyaadu Vilaiyaadu,2006,7.8
      Baby,2015,7.8
      Hey Ram,2000,7.8
      English Vinglish,2012,7.8
      Gangaajal,2003,7.8
      Charlie,2015,7.8
      Okkadu,2003,7.8
      The Lunchbox,2013,7.8
      Ab Tak Chhappan,2004,7.8
      Johnny Gaddaar,2007,7.8
      Manam,2014,7.8
      Hindi Medium,2017,7.8
      Secret Superstar,2017,7.8
      Badla,2019,7.8
      Raazi,2018,7.7
      Nayak: The Real Hero,2001,7.7
      Mr. India,1987,7.7
      Vicky Donor,2012,7.7
      Sonchiriya,2019,7.7
      Udta Punjab,2016,7.7
      Pokiri,2006,7.7
      Don,1978,7.7
      Stanley Ka Dabba,2011,7.7
      Rock On!!,2008,7.7
      RangiTaranga,2015,7.7
      Dasvidaniya,2008,7.7
      Veer-Zaara,2004,7.7
      Samsara,2001,7.7
      Guru,2007,7.7
      Aligarh,2015,7.7
      Arya,2004,7.7
      Oye Lucky! Lucky Oye!,2008,7.7
      Velaiilla Pattadhari,2014,7.7
      Goodachari,2018,7.7
      M.S. Dhoni: The Untold Story,2016,7.7
      Mumbai Meri Jaan,2008,7.7
      Kai po che!,2013,7.6
      Kapoor & Sons,2016,7.6
      Eega,2012,7.6
      Rockstar,2011,7.6
      Aamir,2008,7.6
      Kabhi Haan Kabhi Naa,1994,7.6
      Darr,1993,7.6
      Ugramm,2014,7.6
      Newton,2017,7.6
      24,2016,7.6
      Earth,1998,7.6
      Madras Cafe,2013,7.6
      Agneepath,1990,7.6
      Pyaar Ka Punchnama,2011,7.6
      Sarkar,2005,7.6
      Neerja,2016,7.6
      Bheja Fry,2007,7.6
      Highway,2014,7.6
      Nerkonda Paarvai,2019,7.6
      Manorama: Six Feet Under,2007,7.6
      Thuppakki,2012,7.6
      Magadheera,2009,7.6
      The Tashkent Files,2019,7.6
      Detective Byomkesh Bakshy!,2015,7.6
      Baazigar,1993,7.6
      Tanu Weds Manu Returns,2015,7.6
      Wake Up Sid,2009,7.6
      Saala Khadoos,2016,7.6
      Piku,2015,7.6
      Sanju,2018,7.5
      Kuch Kuch Hota Hai,1998,7.5
      Kaththi,2014,7.5
      Ludo,2020,7.5
      1 - Nenokkadine,2014,7.5
      Dhruva,2016,7.5
      Delhi Belly,2011,7.5
      Stree,2018,7.5
      Lootcase,2020,7.5
      Devdas,2002,7.5
      Jodhaa Akbar,2008,7.5
      Parmanu: The Story of Pokhran,2018,7.5
      Ek Hasina Thi,2004,7.5
      Raanjhanaa,2013,7.5
      Dil Se..,1998,7.5
      Trapped,2016,7.5
      Rocket Singh: Salesman of the Year,2009,7.5
      Hungama,2003,7.5
      Bhavesh Joshi Superhero,2018,7.5
      Geetha Govindam,2018,7.5
      Madaari,2016,7.5
      The Ghazi Attack,2017,7.5
      Jolly LLB,2013,7.5
      Rehnaa Hai Terre Dil Mein,2001,7.5
      Bareilly Ki Barfi,2017,7.5
      Karwaan,2018,7.5
      Ghajini,2005,7.5
      Phas Gaye Re Obama,2010,7.5
      Qayamat Se Qayamat Tak,1988,7.5
      Ghilli,2004,7.5
      Dum Laga Ke Haisha,2015,7.5
      Sivaji,2007,7.4
      The Sky Is Pink,2019,7.4
      Hichki,2018,7.4
      Hum Aapke Hain Koun...!,1994,7.4
      October,2018,7.4
      Mankatha,2011,7.4
      Rangeela,1995,7.4
